date,state,seat,r-prob,d-prob
2014-07-01,AK,1,32.6,67.4
2014-07-01,AL,1,99.0,1.0
2014-07-01,AR,1,48.3,51.7
2014-07-01,CO,1,47.4,52.6
2014-07-01,DE,1,1.0,99.0
2014-07-01,GA,1,51.1,48.9
2014-07-01,HI,1,1.0,99.0
2014-07-01,IA,1,50.0,50.0
2014-07-01,ID,1,99.0,1.0
2014-07-01,IL,1,1.0,99.0
2014-07-01,KS,1,90.0,10.0
2014-07-01,KY,1,53.1,46.9
2014-07-01,LA,1,58.0,42.0
2014-07-01,MA,1,1.0,99.0
2014-07-01,ME,1,99.0,1.0
2014-07-01,MI,1,46.8,53.2
2014-07-01,MN,1,15.1,84.9
2014-07-01,MS,1,88.9,11.1
2014-07-01,MT,1,90.0,10.0
2014-07-01,NC,1,44.3,55.7
2014-07-01,NE,1,99.0,1.0
2014-07-01,NH,1,9.3,90.7
2014-07-01,NJ,1,1.0,99.0
2014-07-01,NM,1,1.0,99.0
2014-07-01,OK,1,99.0,1.0
2014-07-01,OK,2,99.0,1.0
2014-07-01,OR,1,21.3,78.7
2014-07-01,RI,1,1.0,99.0
2014-07-01,SC,1,99.0,1.0
2014-07-01,SC,2,99.0,1.0
2014-07-01,SD,1,83.1,16.9
2014-07-01,TN,1,99.0,1.0
2014-07-01,TX,1,99.0,1.0
2014-07-01,US,,41.9,58.1
2014-07-01,VA,1,5.7,94.3
2014-07-01,WV,1,81.2,18.8
2014-07-01,WY,1,99.0,1.0
2014-07-02,AK,1,32.6,67.4
2014-07-02,AL,1,99.0,1.0
2014-07-02,AR,1,49.0,51.0
2014-07-02,CO,1,47.7,52.3
2014-07-02,DE,1,1.0,99.0
2014-07-02,GA,1,50.1,49.9
2014-07-02,HI,1,1.0,99.0
2014-07-02,IA,1,50.0,50.0
2014-07-02,ID,1,99.0,1.0
2014-07-02,IL,1,1.0,99.0
2014-07-02,KS,1,90.0,10.0
2014-07-02,KY,1,53.0,47.0
2014-07-02,LA,1,57.8,42.2
2014-07-02,MA,1,1.0,99.0
2014-07-02,ME,1,99.0,1.0
2014-07-02,MI,1,47.6,52.4
2014-07-02,MN,1,16.4,83.6
2014-07-02,MS,1,88.9,11.1
2014-07-02,MT,1,90.0,10.0
2014-07-02,NC,1,45.2,54.8
2014-07-02,NE,1,99.0,1.0
2014-07-02,NH,1,10.1,90.0
2014-07-02,NJ,1,1.0,99.0
2014-07-02,NM,1,1.0,99.0
2014-07-02,OK,1,99.0,1.0
2014-07-02,OK,2,99.0,1.0
2014-07-02,OR,1,21.1,78.9
